query,value,keyword,type,fetched_at
s and p 500,400,Bitcoin,rising,2026-05-15T19:58:38.367868
meta stock,24600,Tesla,rising,2026-05-15T19:58:41.252778
meta stock price,16250,Tesla,rising,2026-05-15T19:58:41.252778
tesla pi phone,11500,Tesla,rising,2026-05-15T19:58:41.252778
lcid stock,6850,Tesla,rising,2026-05-15T19:58:41.252778
sofi stock,3750,Tesla,rising,2026-05-15T19:58:41.252778
rivian stock,1700,Tesla,rising,2026-05-15T19:58:41.252778
tesla bot,1450,Tesla,rising,2026-05-15T19:58:41.252778
tesla plaid,1100,Tesla,rising,2026-05-15T19:58:41.252778
tesla robot,1050,Tesla,rising,2026-05-15T19:58:41.252778
tesla model s plaid,950,Tesla,rising,2026-05-15T19:58:41.252778
lucid stock,750,Tesla,rising,2026-05-15T19:58:41.252778
nvidia stock price,650,Tesla,rising,2026-05-15T19:58:41.252778
nvda stock,500,Tesla,rising,2026-05-15T19:58:41.252778
rivian,450,Tesla,rising,2026-05-15T19:58:41.252778
nvidia stock,400,Tesla,rising,2026-05-15T19:58:41.252778
palantir stock,350,Tesla,rising,2026-05-15T19:58:41.252778
tesla model y price,300,Tesla,rising,2026-05-15T19:58:41.252778
tesla phone,250,Tesla,rising,2026-05-15T19:58:41.252778
model y tesla,250,Tesla,rising,2026-05-15T19:58:41.252778
model y,250,Tesla,rising,2026-05-15T19:58:41.252778
tesla insurance,250,Tesla,rising,2026-05-15T19:58:41.252778
tsm stock,250,Tesla,rising,2026-05-15T19:58:41.252778
tesla inventory,200,Tesla,rising,2026-05-15T19:58:41.252778
tesla cybertruck price,200,Tesla,rising,2026-05-15T19:58:41.252778
tesla charger,170,Tesla,rising,2026-05-15T19:58:41.252778
adolescence netflix,6400,Netflix,rising,2026-05-15T19:58:44.292019
fool me once netflix,6050,Netflix,rising,2026-05-15T19:58:44.292019
ed gein,5300,Netflix,rising,2026-05-15T19:58:44.292019
ed gein netflix,4950,Netflix,rising,2026-05-15T19:58:44.292019
his and hers netflix,4800,Netflix,rising,2026-05-15T19:58:44.292019
hunting wives netflix,4000,Netflix,rising,2026-05-15T19:58:44.292019
sirens netflix,3250,Netflix,rising,2026-05-15T19:58:44.292019
the gentlemen netflix,2400,Netflix,rising,2026-05-15T19:58:44.292019
four seasons netflix,1900,Netflix,rising,2026-05-15T19:58:44.292019
one piece netflix,1400,Netflix,rising,2026-05-15T19:58:44.292019
apple cider vinegar netflix,1400,Netflix,rising,2026-05-15T19:58:44.292019
beef netflix,1050,Netflix,rising,2026-05-15T19:58:44.292019
wayward netflix,1000,Netflix,rising,2026-05-15T19:58:44.292019
hbo max,600,Netflix,rising,2026-05-15T19:58:44.292019
max,500,Netflix,rising,2026-05-15T19:58:44.292019
disney plus,120,Netflix,rising,2026-05-15T19:58:44.292019
netflix cost,90,Netflix,rising,2026-05-15T19:58:44.292019
netflix account,90,Netflix,rising,2026-05-15T19:58:44.292019
netflix login,90,Netflix,rising,2026-05-15T19:58:44.292019
netflix price,80,Netflix,rising,2026-05-15T19:58:44.292019
hbo,70,Netflix,rising,2026-05-15T19:58:44.292019
amazon affiliate program,300,Amazon,rising,2026-05-15T19:58:46.957713
amazon kdp,300,Amazon,rising,2026-05-15T19:58:46.957713
amazon customer service phone number,250,Amazon,rising,2026-05-15T19:58:46.957713
amazon prime shopping,200,Amazon,rising,2026-05-15T19:58:46.957713
amazon official site,190,Amazon,rising,2026-05-15T19:58:46.957713
my amazon orders,170,Amazon,rising,2026-05-15T19:58:46.957713
amazon hiring,160,Amazon,rising,2026-05-15T19:58:46.957713
amazon pharmacy,160,Amazon,rising,2026-05-15T19:58:46.957713
amazon prime video login,150,Amazon,rising,2026-05-15T19:58:46.957713
amazon seller central login,140,Amazon,rising,2026-05-15T19:58:46.957713
amazon warehouse jobs,140,Amazon,rising,2026-05-15T19:58:46.957713
amazon shopping,110,Amazon,rising,2026-05-15T19:58:46.957713
amazon customer service number,100,Amazon,rising,2026-05-15T19:58:46.957713
amazon jobs near me,90,Amazon,rising,2026-05-15T19:58:46.957713
amazon phone number,80,Amazon,rising,2026-05-15T19:58:46.957713
amazon prime login,80,Amazon,rising,2026-05-15T19:58:46.957713
amazon orders,70,Amazon,rising,2026-05-15T19:58:46.957713
amazon business,70,Amazon,rising,2026-05-15T19:58:46.957713
google stock,70,Amazon,rising,2026-05-15T19:58:46.957713
amazon fresh,70,Amazon,rising,2026-05-15T19:58:46.957713
amazon flex,60,Amazon,rising,2026-05-15T19:58:46.957713
amazon login,60,Amazon,rising,2026-05-15T19:58:46.957713
amazon jobs,60,Amazon,rising,2026-05-15T19:58:46.957713
amazon warehouse,60,Amazon,rising,2026-05-15T19:58:46.957713
medicare telehealth 2025,10300,telehealth,rising,2026-05-15T19:58:49.858703
telehealth covid test for travel,5050,telehealth,rising,2026-05-15T19:58:49.858703
sequence telehealth,2300,telehealth,rising,2026-05-15T19:58:49.858703
sesame telehealth,2200,telehealth,rising,2026-05-15T19:58:49.858703
bridgeside telehealth,2150,telehealth,rising,2026-05-15T19:58:49.858703
lifestance telehealth waiting room,1800,telehealth,rising,2026-05-15T19:58:49.858703
telehealth weight loss,1350,telehealth,rising,2026-05-15T19:58:49.858703
best telehealth services,1350,telehealth,rising,2026-05-15T19:58:49.858703
medicare telehealth extension,950,telehealth,rising,2026-05-15T19:58:49.858703
telehealth abortion pill,800,telehealth,rising,2026-05-15T19:58:49.858703
ro telehealth,550,telehealth,rising,2026-05-15T19:58:49.858703
adhd telehealth,500,telehealth,rising,2026-05-15T19:58:49.858703
telehealth doctors note,500,telehealth,rising,2026-05-15T19:58:49.858703
