genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1763.3254,49553,2026-08-23T06:40:05.033710
12,Adventure,1453.6083,28120,2026-08-23T06:40:05.419783
16,Animation,371.1166,71317,2026-08-23T06:40:05.804487
35,Comedy,371.1166,174494,2026-08-23T06:40:06.193928
80,Crime,95.8501,42474,2026-08-23T06:40:06.582417
99,Documentary,98.6102,227027,2026-08-23T06:40:06.965031
18,Drama,179.0883,297233,2026-08-23T06:40:07.348657
10751,Family,373.5784,33143,2026-08-23T06:40:07.736652
14,Fantasy,655.2789,30337,2026-08-23T06:40:08.155761
36,History,44.195,22366,2026-08-23T06:40:08.551252
27,Horror,254.1711,72970,2026-08-23T06:40:08.935428
10402,Music,75.4623,54396,2026-08-23T06:40:09.323276
9648,Mystery,149.1961,27081,2026-08-23T06:40:09.709238
10749,Romance,143.895,64219,2026-08-23T06:40:10.093292
878,Science Fiction,1763.3254,26953,2026-08-23T06:40:10.483159
10770,TV Movie,94.5186,32823,2026-08-23T06:40:10.909118
53,Thriller,368.9232,62014,2026-08-23T06:40:11.296584
10752,War,94.2689,13050,2026-08-23T06:40:11.697980
37,Western,40.9854,10216,2026-08-23T06:40:12.087272
