genre_id,genre_name,fetched_at
28,Action,2026-08-23T06:40:00.753070
12,Adventure,2026-08-23T06:40:00.753082
16,Animation,2026-08-23T06:40:00.753084
35,Comedy,2026-08-23T06:40:00.753087
80,Crime,2026-08-23T06:40:00.753088
99,Documentary,2026-08-23T06:40:00.753089
18,Drama,2026-08-23T06:40:00.753091
10751,Family,2026-08-23T06:40:00.753094
14,Fantasy,2026-08-23T06:40:00.753095
36,History,2026-08-23T06:40:00.753097
27,Horror,2026-08-23T06:40:00.753098
10402,Music,2026-08-23T06:40:00.753099
9648,Mystery,2026-08-23T06:40:00.753100
10749,Romance,2026-08-23T06:40:00.753101
878,Science Fiction,2026-08-23T06:40:00.753102
10770,TV Movie,2026-08-23T06:40:00.753103
53,Thriller,2026-08-23T06:40:00.753104
10752,War,2026-08-23T06:40:00.753105
37,Western,2026-08-23T06:40:00.753106
