genre_id,genre_name,fetched_at
28,Action,2026-08-31T12:52:00.823678
12,Adventure,2026-08-31T12:52:00.823690
16,Animation,2026-08-31T12:52:00.823692
35,Comedy,2026-08-31T12:52:00.823694
80,Crime,2026-08-31T12:52:00.823695
99,Documentary,2026-08-31T12:52:00.823697
18,Drama,2026-08-31T12:52:00.823698
10751,Family,2026-08-31T12:52:00.823701
14,Fantasy,2026-08-31T12:52:00.823703
36,History,2026-08-31T12:52:00.823705
27,Horror,2026-08-31T12:52:00.823706
10402,Music,2026-08-31T12:52:00.823708
9648,Mystery,2026-08-31T12:52:00.823709
10749,Romance,2026-08-31T12:52:00.823710
878,Science Fiction,2026-08-31T12:52:00.823712
10770,TV Movie,2026-08-31T12:52:00.823713
53,Thriller,2026-08-31T12:52:00.823714
10752,War,2026-08-31T12:52:00.823716
37,Western,2026-08-31T12:52:00.823717
