genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1110.545,49602,2026-08-29T12:24:12.111291
12,Adventure,1110.545,28140,2026-08-29T12:24:12.495252
16,Animation,239.7891,71433,2026-08-29T12:24:12.876199
35,Comedy,239.7891,174728,2026-08-29T12:24:13.260311
80,Crime,298.9748,42532,2026-08-29T12:24:13.642360
99,Documentary,83.1896,227626,2026-08-29T12:24:14.028631
18,Drama,308.5632,297791,2026-08-29T12:24:14.409538
10751,Family,239.7891,33198,2026-08-29T12:24:14.793101
14,Fantasy,586.1293,30387,2026-08-29T12:24:15.178406
36,History,43.8553,22392,2026-08-29T12:24:15.610802
27,Horror,250.0668,73097,2026-08-29T12:24:16.015940
10402,Music,70.1877,54524,2026-08-29T12:24:16.401696
9648,Mystery,181.433,27147,2026-08-29T12:24:16.785759
10749,Romance,308.5632,64345,2026-08-29T12:24:17.174013
878,Science Fiction,1110.545,27000,2026-08-29T12:24:17.557824
10770,TV Movie,79.3995,32909,2026-08-29T12:24:17.940793
53,Thriller,472.8163,62116,2026-08-29T12:24:18.327296
10752,War,87.817,13061,2026-08-29T12:24:18.708935
37,Western,31.613,10220,2026-08-29T12:24:19.091369
