genre_id,genre_name,fetched_at
28,Action,2026-08-29T12:24:07.818921
12,Adventure,2026-08-29T12:24:07.818931
16,Animation,2026-08-29T12:24:07.818932
35,Comedy,2026-08-29T12:24:07.818933
80,Crime,2026-08-29T12:24:07.818934
99,Documentary,2026-08-29T12:24:07.818935
18,Drama,2026-08-29T12:24:07.818936
10751,Family,2026-08-29T12:24:07.818939
14,Fantasy,2026-08-29T12:24:07.818940
36,History,2026-08-29T12:24:07.818941
27,Horror,2026-08-29T12:24:07.818943
10402,Music,2026-08-29T12:24:07.818944
9648,Mystery,2026-08-29T12:24:07.818945
10749,Romance,2026-08-29T12:24:07.818945
878,Science Fiction,2026-08-29T12:24:07.818946
10770,TV Movie,2026-08-29T12:24:07.818947
53,Thriller,2026-08-29T12:24:07.818948
10752,War,2026-08-29T12:24:07.818949
37,Western,2026-08-29T12:24:07.818950
