tmdb_id,name,original_name,popularity,vote_average,vote_count,first_air_date,origin_country,genre_ids,overview,poster_path,fetched_at
67707,Paradise Hotel,Paradise Hotel,402.608,5.0,4,2005-01-17,"[""SE""]",[10764],"A group of hot singles check into a luxury hotel in Mexico. Prepare for love, partying, betrayal and tears. Half a million kronor is at stake and anything can happen in paradise.",/aeU8fC5JaG2BkWqgMX7yPfX7dfW.jpg,2026-08-14T07:23:45.798344
51025,Paradise Hotel,Paradise Hotel,384.416,5.6,10,2005-09-14,"[""DK""]",[10764],"Danish version of the reality series ""Paradise Hotel"".",/ycSBcACecVR0zSnP2ZF83k5f7he.jpg,2026-08-14T07:23:45.798357
94997,House of the Dragon,House of the Dragon,415.8801,8.385,6944,2022-08-21,"[""US""]","[10765, 18, 10759]","The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",/7V0Ebks0GgpKvQ7QbLAIdX5dos4.jpg,2026-08-14T07:23:45.798364
108978,Reacher,Reacher,425.4143,8.075,3029,2022-02-03,"[""US""]","[10759, 18, 80]","Jack Reacher, a veteran military police investigator, has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served.",/f1VCQIG2iCyOookdgOzwtUpwWC0.jpg,2026-08-14T07:23:45.798371
113962,Lioness,Lioness,304.9327,8.0,1334,2023-07-23,"[""US""]","[18, 10768]","Cruz Manuelos, a rough-around-the-edges but passionate young Marine, is recruited to join the CIA's Lioness Engagement Team to help bring down a terrorist organization from within. Joe, the station chief of the Lioness program, is tasked with training, managing and leading her female undercover operatives.",/rzpHPSEgPTpRs8EHbygwsOw7jC0.jpg,2026-08-14T07:23:45.798377
36109,Paradise Hotel,Paradise Hotel,267.8942,5.7,10,2009-03-09,"[""NO""]",[10764],"Norwegian girls and boys check in at the Paradise Hotel in Mexico, where Triana Iglesias is the hotel manager. The hotel has great views and a fantastic pool. Cameras with a full view of the idyllic site tells the story of what happens when the single boys and girls meet in the hot surroundings of the hotel. The task they have is basically simple: Find a partner or check out.",/k6KhQBpW4gdcoSp9JQvQFq14lFI.jpg,2026-08-14T07:23:45.798383
46271,Secret Story,Secret Story,286.0019,4.5,12,2007-06-23,"[""FR""]",[10764],"The game contestants are cut off from the rest of the world during ten to fifteen weeks in a house called “house of secrets”, where every room is fitted with video cameras, except the restroom. The goal is to keep a secret while trying to discover the other contestants' secret.",/jDFFyXE04vv9pvHzJESgbJnNRc2.jpg,2026-08-14T07:23:45.798389
5920,The Mentalist,The Mentalist,309.3137,8.377,4542,2008-09-23,"[""US""]","[80, 18, 9648]","Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,2026-08-14T07:23:45.798398
310518,Hockey Psychology,Hockey Psychology,269.8506,0.0,0,2021-04-10,"[""US""]",[],Breaking down the game within the game for the best sport on earth.,,2026-08-14T07:23:45.798405
1416,Grey's Anatomy,Grey's Anatomy,229.279,8.206,11004,2005-03-27,"[""US""]",[18],Follows the personal and professional lives of a group of doctors at Seattle's Grey Sloan Memorial Hospital.,/hjJkrLXhWvGHpLeLBDFznpBTY1S.jpg,2026-08-14T07:23:45.798411
