genre_id,genre_name,fetched_at
28,Action,2026-08-28T18:15:44.066131
12,Adventure,2026-08-28T18:15:44.066142
16,Animation,2026-08-28T18:15:44.066144
35,Comedy,2026-08-28T18:15:44.066146
80,Crime,2026-08-28T18:15:44.066147
99,Documentary,2026-08-28T18:15:44.066148
18,Drama,2026-08-28T18:15:44.066149
10751,Family,2026-08-28T18:15:44.066152
14,Fantasy,2026-08-28T18:15:44.066154
36,History,2026-08-28T18:15:44.066155
27,Horror,2026-08-28T18:15:44.066157
10402,Music,2026-08-28T18:15:44.066158
9648,Mystery,2026-08-28T18:15:44.066159
10749,Romance,2026-08-28T18:15:44.066160
878,Science Fiction,2026-08-28T18:15:44.066162
10770,TV Movie,2026-08-28T18:15:44.066163
53,Thriller,2026-08-28T18:15:44.066164
10752,War,2026-08-28T18:15:44.066165
37,Western,2026-08-28T18:15:44.066167
