genre_id,genre_name,fetched_at
28,Action,2026-08-13T07:26:27.877107
12,Adventure,2026-08-13T07:26:27.877117
16,Animation,2026-08-13T07:26:27.877119
35,Comedy,2026-08-13T07:26:27.877120
80,Crime,2026-08-13T07:26:27.877121
99,Documentary,2026-08-13T07:26:27.877123
18,Drama,2026-08-13T07:26:27.877124
10751,Family,2026-08-13T07:26:27.877127
14,Fantasy,2026-08-13T07:26:27.877128
36,History,2026-08-13T07:26:27.877130
27,Horror,2026-08-13T07:26:27.877131
10402,Music,2026-08-13T07:26:27.877132
9648,Mystery,2026-08-13T07:26:27.877133
10749,Romance,2026-08-13T07:26:27.877135
878,Science Fiction,2026-08-13T07:26:27.877136
10770,TV Movie,2026-08-13T07:26:27.877137
53,Thriller,2026-08-13T07:26:27.877138
10752,War,2026-08-13T07:26:27.877139
37,Western,2026-08-13T07:26:27.877140
