genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1027.966,49663,2026-09-01T11:12:15.499965
12,Adventure,1027.966,28173,2026-09-01T11:12:15.811689
16,Animation,213.4425,71502,2026-09-01T11:12:16.119477
35,Comedy,213.4425,174864,2026-09-01T11:12:16.425573
80,Crime,306.3943,42565,2026-09-01T11:12:16.734216
99,Documentary,74.8238,227850,2026-09-01T11:12:17.042016
18,Drama,341.9864,298050,2026-09-01T11:12:17.348909
10751,Family,213.4425,33224,2026-09-01T11:12:17.658222
14,Fantasy,585.8749,30426,2026-09-01T11:12:17.964330
36,History,46.7264,22408,2026-09-01T11:12:18.272322
27,Horror,232.1632,73167,2026-09-01T11:12:18.579229
10402,Music,73.8565,54557,2026-09-01T11:12:18.886236
9648,Mystery,231.3745,27184,2026-09-01T11:12:19.195463
10749,Romance,341.9864,64372,2026-09-01T11:12:19.504692
878,Science Fiction,1027.966,27020,2026-09-01T11:12:19.814639
10770,TV Movie,68.2162,32951,2026-09-01T11:12:20.121427
53,Thriller,413.216,62174,2026-09-01T11:12:20.430255
10752,War,86.48,13067,2026-09-01T11:12:20.741833
37,Western,30.7244,10224,2026-09-01T11:12:21.055949
