genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1763.3254,49538,2026-08-22T06:39:05.240515
12,Adventure,1763.3254,28119,2026-08-22T06:39:05.624967
16,Animation,371.1166,71322,2026-08-22T06:39:06.008343
35,Comedy,371.1166,174478,2026-08-22T06:39:06.391223
80,Crime,91.02,42475,2026-08-22T06:39:06.774883
99,Documentary,99.1245,226995,2026-08-22T06:39:07.158344
18,Drama,190.2787,297221,2026-08-22T06:39:07.541582
10751,Family,371.1166,33129,2026-08-22T06:39:07.966248
14,Fantasy,661.9219,30338,2026-08-22T06:39:08.349011
36,History,44.8714,22369,2026-08-22T06:39:08.729351
27,Horror,287.5725,72956,2026-08-22T06:39:09.152890
10402,Music,77.7538,54388,2026-08-22T06:39:09.540792
9648,Mystery,183.4236,27082,2026-08-22T06:39:09.924871
10749,Romance,143.895,64214,2026-08-22T06:39:10.309777
878,Science Fiction,1763.3254,26957,2026-08-22T06:39:10.694693
10770,TV Movie,93.2234,32869,2026-08-22T06:39:11.085998
53,Thriller,366.1535,62006,2026-08-22T06:39:11.470241
10752,War,97.5143,13048,2026-08-22T06:39:11.853398
37,Western,42.6454,10217,2026-08-22T06:39:12.236066
