genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1380.7869,49567,2026-08-25T06:46:31.920307
12,Adventure,1380.7869,28112,2026-08-25T06:46:32.266870
16,Animation,328.4932,71299,2026-08-25T06:46:32.619634
35,Comedy,328.4932,174514,2026-08-25T06:46:32.966808
80,Crime,259.4866,42485,2026-08-25T06:46:33.313465
99,Documentary,91.7366,227176,2026-08-25T06:46:33.658272
18,Drama,164.6094,297435,2026-08-25T06:46:34.002282
10751,Family,387.5602,33145,2026-08-25T06:46:34.357114
14,Fantasy,614.2746,30337,2026-08-25T06:46:34.717989
36,History,50.4453,22373,2026-08-25T06:46:35.071601
27,Horror,284.2699,72996,2026-08-25T06:46:35.428266
10402,Music,76.8905,54420,2026-08-25T06:46:35.773266
9648,Mystery,133.9161,27099,2026-08-25T06:46:36.138675
10749,Romance,164.6094,64263,2026-08-25T06:46:36.484884
878,Science Fiction,1657.2333,26962,2026-08-25T06:46:36.859102
10770,TV Movie,89.4021,32845,2026-08-25T06:46:37.221256
53,Thriller,502.0551,62045,2026-08-25T06:46:37.572710
10752,War,97.4319,13050,2026-08-25T06:46:37.918677
37,Western,36.5436,10215,2026-08-25T06:46:38.273299
