genre_id,genre_name,fetched_at
28,Action,2026-05-19T22:48:49.902577
12,Adventure,2026-05-19T22:48:49.902622
16,Animation,2026-05-19T22:48:49.902629
35,Comedy,2026-05-19T22:48:49.902632
80,Crime,2026-05-19T22:48:49.902636
99,Documentary,2026-05-19T22:48:49.902641
18,Drama,2026-05-19T22:48:49.902644
10751,Family,2026-05-19T22:48:49.902648
14,Fantasy,2026-05-19T22:48:49.902652
36,History,2026-05-19T22:48:49.902655
27,Horror,2026-05-19T22:48:49.902659
10402,Music,2026-05-19T22:48:49.902664
9648,Mystery,2026-05-19T22:48:49.902668
10749,Romance,2026-05-19T22:48:49.902672
878,Science Fiction,2026-05-19T22:48:49.902676
10770,TV Movie,2026-05-19T22:48:49.902680
53,Thriller,2026-05-19T22:48:49.902684
10752,War,2026-05-19T22:48:49.902687
37,Western,2026-05-19T22:48:49.902691
