genre_id,genre_name,fetched_at
28,Action,2026-08-17T06:54:22.993244
12,Adventure,2026-08-17T06:54:22.993253
16,Animation,2026-08-17T06:54:22.993255
35,Comedy,2026-08-17T06:54:22.993255
80,Crime,2026-08-17T06:54:22.993256
99,Documentary,2026-08-17T06:54:22.993257
18,Drama,2026-08-17T06:54:22.993258
10751,Family,2026-08-17T06:54:22.993261
14,Fantasy,2026-08-17T06:54:22.993262
36,History,2026-08-17T06:54:22.993263
27,Horror,2026-08-17T06:54:22.993264
10402,Music,2026-08-17T06:54:22.993265
9648,Mystery,2026-08-17T06:54:22.993266
10749,Romance,2026-08-17T06:54:22.993267
878,Science Fiction,2026-08-17T06:54:22.993268
10770,TV Movie,2026-08-17T06:54:22.993269
53,Thriller,2026-08-17T06:54:22.993269
10752,War,2026-08-17T06:54:22.993270
37,Western,2026-08-17T06:54:22.993272
