genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1407.5009,49482,2026-08-16T06:38:39.275571
12,Adventure,1407.5009,28072,2026-08-16T06:38:39.598246
16,Animation,329.1045,71272,2026-08-16T06:38:39.926287
35,Comedy,329.1045,174279,2026-08-16T06:38:40.247150
80,Crime,93.8286,42424,2026-08-16T06:38:40.568340
99,Documentary,91.8885,226558,2026-08-16T06:38:40.887722
18,Drama,237.9754,296700,2026-08-16T06:38:41.206279
10751,Family,329.1045,33069,2026-08-16T06:38:41.527190
14,Fantasy,814.1546,30273,2026-08-16T06:38:41.846128
36,History,49.9316,22321,2026-08-16T06:38:42.164883
27,Horror,350.6261,72867,2026-08-16T06:38:42.486266
10402,Music,84.8355,54341,2026-08-16T06:38:42.807354
9648,Mystery,212.4078,27026,2026-08-16T06:38:43.127463
10749,Romance,123.5677,64104,2026-08-16T06:38:43.445982
878,Science Fiction,1407.5009,26951,2026-08-16T06:38:43.765675
10770,TV Movie,77.0286,32841,2026-08-16T06:38:44.084968
53,Thriller,330.6493,61889,2026-08-16T06:38:44.412585
10752,War,127.7012,13028,2026-08-16T06:38:44.743541
37,Western,70.9165,10205,2026-08-16T06:38:45.063647
