genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1819.537,49520,2026-08-21T06:45:11.995785
12,Adventure,1819.537,28118,2026-08-21T06:45:12.307670
16,Animation,373.2636,71334,2026-08-21T06:45:12.620347
35,Comedy,373.2636,174461,2026-08-21T06:45:12.934700
80,Crime,91.02,42476,2026-08-21T06:45:13.246472
99,Documentary,101.0602,226934,2026-08-21T06:45:13.558565
18,Drama,204.5826,297154,2026-08-21T06:45:13.870356
10751,Family,373.2636,33112,2026-08-21T06:45:14.228727
14,Fantasy,728.3957,30330,2026-08-21T06:45:14.537179
36,History,43.7074,22356,2026-08-21T06:45:14.846528
27,Horror,292.2132,72937,2026-08-21T06:45:15.154359
10402,Music,74.1587,54381,2026-08-21T06:45:15.464465
9648,Mystery,202.1509,27077,2026-08-21T06:45:15.775075
10749,Romance,141.7296,64200,2026-08-21T06:45:16.085806
878,Science Fiction,1819.537,26957,2026-08-21T06:45:16.395701
10770,TV Movie,93.2234,32874,2026-08-21T06:45:16.707009
53,Thriller,375.8889,61993,2026-08-21T06:45:17.020344
10752,War,97.5143,13044,2026-08-21T06:45:17.335660
37,Western,46.2238,10216,2026-08-21T06:45:17.645500
