genre_id,genre_name,fetched_at
28,Action,2026-08-20T06:43:58.515831
12,Adventure,2026-08-20T06:43:58.515838
16,Animation,2026-08-20T06:43:58.515840
35,Comedy,2026-08-20T06:43:58.515842
80,Crime,2026-08-20T06:43:58.515843
99,Documentary,2026-08-20T06:43:58.515844
18,Drama,2026-08-20T06:43:58.515845
10751,Family,2026-08-20T06:43:58.515848
14,Fantasy,2026-08-20T06:43:58.515850
36,History,2026-08-20T06:43:58.515851
27,Horror,2026-08-20T06:43:58.515853
10402,Music,2026-08-20T06:43:58.515854
9648,Mystery,2026-08-20T06:43:58.515855
10749,Romance,2026-08-20T06:43:58.515856
878,Science Fiction,2026-08-20T06:43:58.515857
10770,TV Movie,2026-08-20T06:43:58.515858
53,Thriller,2026-08-20T06:43:58.515859
10752,War,2026-08-20T06:43:58.515861
37,Western,2026-08-20T06:43:58.515862
