genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1310.798,49464,2026-08-11T14:30:32.499321
12,Adventure,1310.798,28021,2026-08-11T14:30:32.880505
16,Animation,310.1795,71203,2026-08-11T14:30:33.264677
35,Comedy,310.1795,174069,2026-08-11T14:30:33.647755
80,Crime,122.8059,42390,2026-08-11T14:30:34.031189
99,Documentary,43.0775,226207,2026-08-11T14:30:34.416719
18,Drama,279.1382,296314,2026-08-11T14:30:34.799739
10751,Family,310.1795,33022,2026-08-11T14:30:35.184378
14,Fantasy,758.9909,30242,2026-08-11T14:30:35.582239
36,History,51.8614,22303,2026-08-11T14:30:36.006716
27,Horror,369.9083,72727,2026-08-11T14:30:36.389978
10402,Music,102.5479,54263,2026-08-11T14:30:36.784635
9648,Mystery,189.0097,26967,2026-08-11T14:30:37.167541
10749,Romance,147.6612,64028,2026-08-11T14:30:37.553263
878,Science Fiction,1310.798,26929,2026-08-11T14:30:37.935465
10770,TV Movie,47.5244,32829,2026-08-11T14:30:38.318416
53,Thriller,369.9083,61782,2026-08-11T14:30:38.703596
10752,War,131.5131,13023,2026-08-11T14:30:39.132278
37,Western,100.3185,10194,2026-08-11T14:30:39.523074
