genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,671.0993,48495,2026-05-19T22:48:59.282479
12,Adventure,447.7858,27301,2026-05-19T22:49:00.169245
16,Animation,354.9764,69645,2026-05-19T22:49:01.026595
35,Comedy,309.4795,169846,2026-05-19T22:49:01.904571
80,Crime,671.0993,41430,2026-05-19T22:49:02.775789
99,Documentary,67.8856,218961,2026-05-19T22:49:03.648061
18,Drama,671.0993,288504,2026-05-19T22:49:04.488823
10751,Family,354.9764,32114,2026-05-19T22:49:05.357988
14,Fantasy,354.9764,29250,2026-05-19T22:49:06.199941
36,History,61.0356,21744,2026-05-19T22:49:07.076324
27,Horror,157.9774,70590,2026-05-19T22:49:07.918803
10402,Music,116.9987,53212,2026-05-19T22:49:08.776939
9648,Mystery,157.9774,26105,2026-05-19T22:49:09.625480
10749,Romance,221.8462,62720,2026-05-19T22:49:10.474489
878,Science Fiction,447.7858,26165,2026-05-19T22:49:11.312846
10770,TV Movie,54.3495,32184,2026-05-19T22:49:12.177404
53,Thriller,227.5895,59949,2026-05-19T22:49:13.073521
10752,War,45.8197,12757,2026-05-19T22:49:14.257503
37,Western,22.7843,10079,2026-05-19T22:49:15.118412
