tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at
1007757,Swapped,Swapped,354.9764,8.987,1190,2026-05-01,"[16, 10751, 12, 14]","A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,movie,2026-05-19T22:48:41.438253
1084244,Toy Story 5,Toy Story 5,17.555,0.0,0,2026-06-17,"[16, 10751, 35, 12]","When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",/dWIAOC9EKFehGs3CYvDQih3hxaG.jpg,movie,2026-05-19T22:48:41.438264
1140521,The Magic Faraway Tree,The Magic Faraway Tree,29.9019,6.352,27,2026-03-26,"[10751, 14, 12]","A modern family relocates to the countryside where the children discover a magical tree with eccentric residents. They're transported to fantastical lands, rekindling their family bond through adventures.",/udXvLxC5gAqN8SinemyFBEcHpTf.jpg,movie,2026-05-19T22:48:41.438274
1430077,Hokum,Hokum,16.3147,7.0,43,2026-04-29,[27],"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg,movie,2026-05-19T22:48:41.438282
1327819,Hoppers,Hoppers,136.9073,8.078,1129,2026-03-04,"[12, 16, 35, 10751, 878]","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,movie,2026-05-19T22:48:42.269817
1325734,The Drama,The Drama,38.3143,6.926,779,2026-03-26,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,/yPV87cvDabRMTZs6NIbZLOufBLR.jpg,movie,2026-05-19T22:48:42.269838
1628367,Kartavya,कर्त्तव्य,42.7705,6.8,6,2026-05-15,"[80, 18, 53]","With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.",/doTwMyAphlDL5Z8WqE3elWWvj8M.jpg,movie,2026-05-19T22:48:42.269845
1684244,Untold UK: Liverpool's Miracle of Istanbul,Untold UK: Liverpool's Miracle of Istanbul,0.5124,0.0,0,2026-05-19,"[99, 36]",At half-time in the 2005 champion league final Liverpool were 3-0 down. What happened next made football history -​ as players recall in this documentary.,/oS1ad6L9ybHYEJLljmTkxn4ORDC.jpg,movie,2026-05-19T22:48:42.269851
1318447,Apex,Apex,227.5895,6.657,1097,2026-04-24,"[28, 53]",A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,movie,2026-05-19T22:48:42.269857
1330021,Remarkably Bright Creatures,Remarkably Bright Creatures,118.3567,8.512,327,2026-05-07,"[18, 9648]","Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg,movie,2026-05-19T22:48:42.269863
1301421,The Sheep Detectives,The Sheep Detectives,107.6283,7.628,78,2026-04-30,"[35, 10751, 9648]","George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",/6QtL9rl3Zb4d8qW6EJ4qO5hSSfU.jpg,movie,2026-05-19T22:48:42.269870
1266127,Ready or Not: Here I Come,Ready or Not: Here I Come,145.7719,7.64,763,2026-03-19,"[53, 27, 35]","Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",/13ZcJzSGEqVgDSqsS9U5EkQwPkV.jpg,movie,2026-05-19T22:48:42.269876
1122573,In the Grey,In the Grey,48.5359,6.359,39,2026-05-13,"[28, 53]","A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,movie,2026-05-19T22:48:42.269881
1662317,The Crash,The Crash,17.471,6.5,20,2026-05-15,"[99, 80]","A teen slams her car into a building, killing her boyfriend and his friend. What seems like a tragic accident becomes a murder case.",/veskdPx4YUTmkrFrTs6zRJ8VV4E.jpg,movie,2026-05-19T22:48:42.269886
1297842,GOAT,GOAT,115.5354,8.11,630,2026-02-11,"[16, 35, 10751]","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,movie,2026-05-19T22:48:42.269892
1684226,Bride of the Year,Bruid van die Jaar,47.9999,8.125,4,2026-05-15,"[35, 10749, 10751]","When Lienkie's dream of budding a family of her own come crashing down, she hatches a devious plan to win ""Bride of the Year"" and get back at her ex.",/2AiO7wnTrY5ktq0pLco3eS6g8NL.jpg,movie,2026-05-19T22:48:42.269897
1198994,Send Help,Send Help,74.4888,7.035,1492,2026-01-22,"[27, 53, 35]","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",/mjkS2iAgWj3ik1DTjvI15nHZ7yl.jpg,movie,2026-05-19T22:48:42.269903
1177767,Mile End Kicks,Mile End Kicks,1.6756,7.0,2,2026-04-17,"[35, 10749, 10402, 18]","Grace Pine, a 22-year-old music critic, moves to Montreal to write a book on Alanis Morissette's Jagged Little Pill, but her plans are complicated when she becomes romantically involved with two members of an indie band she is covering and decides to become their publicist.",/qq3Q1tsxAxMqP38YTZKl8m5zmA4.jpg,movie,2026-05-19T22:48:42.269909
855435,Faces of Death,Faces of Death,97.1636,5.3,55,2026-04-10,[27],"A woman, employed as a website content moderator, comes across a series of violent videos reproducing death scenes from a film.",/vPVY3S57lEooBLJCg6KGdMHkUxm.jpg,movie,2026-05-19T22:48:42.269915
1582770,Dhurandhar: The Revenge,धुरंधर: द रिवेंज,43.5178,7.4,77,2026-03-18,"[28, 80, 53]","As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,movie,2026-05-19T22:48:42.269920
