genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1911.7361,49497,2026-08-18T06:41:46.899381
12,Adventure,1831.2906,28093,2026-08-18T06:41:47.310907
16,Animation,319.7902,71294,2026-08-18T06:41:47.692833
35,Comedy,319.7902,174330,2026-08-18T06:41:48.073621
80,Crime,100.7962,42443,2026-08-18T06:41:48.455648
99,Documentary,93.9747,226703,2026-08-18T06:41:48.858181
18,Drama,231.8508,296884,2026-08-18T06:41:49.239042
10751,Family,319.7902,33074,2026-08-18T06:41:49.619893
14,Fantasy,850.2382,30295,2026-08-18T06:41:49.999272
36,History,46.9784,22339,2026-08-18T06:41:50.379111
27,Horror,311.0577,72866,2026-08-18T06:41:50.761146
10402,Music,87.0547,54337,2026-08-18T06:41:51.139876
9648,Mystery,230.9838,27035,2026-08-18T06:41:51.518251
10749,Romance,135.6525,64143,2026-08-18T06:41:51.895035
878,Science Fiction,1831.2906,26937,2026-08-18T06:41:52.275784
10770,TV Movie,82.8828,32870,2026-08-18T06:41:52.653617
53,Thriller,259.0706,61914,2026-08-18T06:41:53.040400
10752,War,117.3041,13036,2026-08-18T06:41:53.422769
37,Western,60.0484,10208,2026-08-18T06:41:53.800953
