genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1831.2906,49490,2026-08-17T06:54:26.930469
12,Adventure,1831.2906,28084,2026-08-17T06:54:27.275591
16,Animation,348.0608,71271,2026-08-17T06:54:27.634012
35,Comedy,348.0608,174306,2026-08-17T06:54:27.996432
80,Crime,100.7962,42434,2026-08-17T06:54:28.342695
99,Documentary,103.6086,226617,2026-08-17T06:54:28.722580
18,Drama,243.8316,296787,2026-08-17T06:54:29.083133
10751,Family,348.0608,33074,2026-08-17T06:54:29.433047
14,Fantasy,869.7421,30280,2026-08-17T06:54:29.788127
36,History,51.2735,22333,2026-08-17T06:54:30.136130
27,Horror,330.6493,72866,2026-08-17T06:54:30.495867
10402,Music,80.5997,54334,2026-08-17T06:54:30.852435
9648,Mystery,232.4848,27033,2026-08-17T06:54:31.198125
10749,Romance,135.4874,64123,2026-08-17T06:54:31.547345
878,Science Fiction,1831.2906,26943,2026-08-17T06:54:31.902310
10770,TV Movie,77.0286,32866,2026-08-17T06:54:32.275113
53,Thriller,311.0577,61909,2026-08-17T06:54:32.618602
10752,War,117.3041,13031,2026-08-17T06:54:32.968477
37,Western,65.4835,10205,2026-08-17T06:54:33.319539
