genre_id,genre_name,fetched_at
28,Action,2026-09-05T10:02:28.881482
12,Adventure,2026-09-05T10:02:28.881491
16,Animation,2026-09-05T10:02:28.881493
35,Comedy,2026-09-05T10:02:28.881494
80,Crime,2026-09-05T10:02:28.881495
99,Documentary,2026-09-05T10:02:28.881496
18,Drama,2026-09-05T10:02:28.881497
10751,Family,2026-09-05T10:02:28.881500
14,Fantasy,2026-09-05T10:02:28.881501
36,History,2026-09-05T10:02:28.881503
27,Horror,2026-09-05T10:02:28.881504
10402,Music,2026-09-05T10:02:28.881505
9648,Mystery,2026-09-05T10:02:28.881507
10749,Romance,2026-09-05T10:02:28.881508
878,Science Fiction,2026-09-05T10:02:28.881509
10770,TV Movie,2026-09-05T10:02:28.881510
53,Thriller,2026-09-05T10:02:28.881511
10752,War,2026-09-05T10:02:28.881512
37,Western,2026-09-05T10:02:28.881513
