genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1346.7581,49566,2026-08-26T06:49:13.920175
12,Adventure,1346.7581,28119,2026-08-26T06:49:14.313581
16,Animation,308.0179,71350,2026-08-26T06:49:14.699408
35,Comedy,308.0179,174585,2026-08-26T06:49:15.091723
80,Crime,309.1784,42499,2026-08-26T06:49:15.483149
99,Documentary,91.7366,227260,2026-08-26T06:49:15.872106
18,Drama,178.8819,297486,2026-08-26T06:49:16.267383
10751,Family,328.4932,33154,2026-08-26T06:49:16.660990
14,Fantasy,620.9085,30356,2026-08-26T06:49:17.077700
36,History,47.4551,22374,2026-08-26T06:49:17.465827
27,Horror,278.924,73005,2026-08-26T06:49:17.855083
10402,Music,77.7489,54442,2026-08-26T06:49:18.242360
9648,Mystery,138.9728,27113,2026-08-26T06:49:18.633508
10749,Romance,178.8819,64264,2026-08-26T06:49:19.024949
878,Science Fiction,1346.7581,26966,2026-08-26T06:49:19.411177
10770,TV Movie,92.7541,32864,2026-08-26T06:49:19.805322
53,Thriller,534.5399,62058,2026-08-26T06:49:20.195178
10752,War,97.4319,13049,2026-08-26T06:49:20.582704
37,Western,34.1755,10216,2026-08-26T06:49:20.966880
