genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1006.0211,49483,2026-08-14T07:23:50.777805
12,Adventure,1006.0211,28057,2026-08-14T07:23:51.087723
16,Animation,332.7628,71244,2026-08-14T07:23:51.402685
35,Comedy,332.7628,174222,2026-08-14T07:23:51.711847
80,Crime,96.6392,42417,2026-08-14T07:23:52.023540
99,Documentary,81.3611,226453,2026-08-14T07:23:52.343862
18,Drama,246.4583,296570,2026-08-14T07:23:52.656026
10751,Family,332.7628,33048,2026-08-14T07:23:52.968492
14,Fantasy,817.7806,30263,2026-08-14T07:23:53.289460
36,History,48.4615,22312,2026-08-14T07:23:53.600502
27,Horror,375.692,72824,2026-08-14T07:23:53.910660
10402,Music,89.6242,54304,2026-08-14T07:23:54.221943
9648,Mystery,152.346,27005,2026-08-14T07:23:54.538543
10749,Romance,117.0782,64060,2026-08-14T07:23:54.855666
878,Science Fiction,1006.0211,26959,2026-08-14T07:23:55.167423
10770,TV Movie,59.7593,32824,2026-08-14T07:23:55.478105
53,Thriller,388.6318,61841,2026-08-14T07:23:55.789753
10752,War,127.6131,13029,2026-08-14T07:23:56.099724
37,Western,84.3741,10201,2026-08-14T07:23:56.410912
