genre_id,genre_name,fetched_at
28,Action,2026-08-27T17:22:43.184013
12,Adventure,2026-08-27T17:22:43.184025
16,Animation,2026-08-27T17:22:43.184027
35,Comedy,2026-08-27T17:22:43.184028
80,Crime,2026-08-27T17:22:43.184030
99,Documentary,2026-08-27T17:22:43.184031
18,Drama,2026-08-27T17:22:43.184032
10751,Family,2026-08-27T17:22:43.184035
14,Fantasy,2026-08-27T17:22:43.184037
36,History,2026-08-27T17:22:43.184039
27,Horror,2026-08-27T17:22:43.184040
10402,Music,2026-08-27T17:22:43.184041
9648,Mystery,2026-08-27T17:22:43.184042
10749,Romance,2026-08-27T17:22:43.184044
878,Science Fiction,2026-08-27T17:22:43.184045
10770,TV Movie,2026-08-27T17:22:43.184046
53,Thriller,2026-08-27T17:22:43.184048
10752,War,2026-08-27T17:22:43.184049
37,Western,2026-08-27T17:22:43.184050
