tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
1315772,Minions & Monsters,Minions & Monsters,255.0252,6.389,287,2026-06-24,"[12, 16, 35, 10751, 14]","This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,movie,2026-08-11T14:30:24.229999,ZSdOwt-G49w,Official Trailer,Trailer,https://www.youtube.com/watch?v=ZSdOwt-G49w
950028,The Invite,The Invite,74.1983,7.6,147,2026-06-25,"[18, 35, 10749]","Joe and Angela’s marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places. Have they reignited the spark or lit the match that burns it all down?",/b7Dr8Chzse8VagexAporUu2RtLx.jpg,movie,2026-08-11T14:30:24.230017,nelkiuezJxg,Official Trailer 2,Trailer,https://www.youtube.com/watch?v=nelkiuezJxg
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,1310.798,7.873,1518,2026-07-29,"[878, 28, 12]",Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,/iPOn6DinuVyLY17YM9mKuPofV08.jpg,movie,2026-08-11T14:30:24.230023,8TZMtslA3UY,Official Trailer,Trailer,https://www.youtube.com/watch?v=8TZMtslA3UY
1368337,The Odyssey,The Odyssey,758.9909,8.0,2588,2026-07-15,"[12, 28, 14]","Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,movie,2026-08-11T14:30:24.230028,AyIZ9tiiN8I,Official Countdown Trailer,Trailer,https://www.youtube.com/watch?v=AyIZ9tiiN8I
1284041,The Last House,The Last House,369.9083,6.775,407,2026-08-06,"[27, 878, 53]",A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.,/6JU7E8Vv2M11egkctWVOScxWR75.jpg,movie,2026-08-11T14:30:24.230033,MLxgaz2Zp1k,Official Trailer,Trailer,https://www.youtube.com/watch?v=MLxgaz2Zp1k
1101383,The End of Oak Street,The End of Oak Street,67.0169,7.6,16,2026-08-12,"[878, 9648, 53]","After a mysterious cosmic event rips Oak Street from suburbia and transports their neighborhood to someplace unknown, the Platt family soon discovers that their very survival depends on them sticking together as they navigate their now unrecognizable surroundings.",/3SifFCwwFzXdU1Ew0nA4Z92Bs15.jpg,movie,2026-08-11T14:30:24.230039,3oB9AxspVow,Official Trailer,Trailer,https://www.youtube.com/watch?v=3oB9AxspVow
1612018,Jackass: Best and Last,Jackass: Best and Last,43.0775,6.7,42,2026-06-25,"[28, 35, 99]",The fifth and final installment to Jackass franchise where the crew go on one last insane crusade.,/s8RT7wW7fydpLZ7wkxudyaZnYe3.jpg,movie,2026-08-11T14:30:24.230044,sNwzFhGwA94,Official Trailer,Trailer,https://www.youtube.com/watch?v=sNwzFhGwA94
1308767,Young Washington,Young Washington,8.6634,8.2,39,2026-07-02,"[36, 10752, 18]","Before he led a nation, George Washington was a young soldier thrown into a global conflict. With alliances crumbling and war closing in, he must choose who to trust and confront the leader he's becoming.",/ntW9zzhDmbt3sXDyPXb7SHVuDdB.jpg,movie,2026-08-11T14:30:24.230060,LJek-kc384w,Official Trailer,Trailer,https://www.youtube.com/watch?v=LJek-kc384w
1339713,Obsession,Obsession,278.4755,8.229,4544,2026-05-13,"[27, 53]","After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,movie,2026-08-11T14:30:24.230067,TaaDkbG3I7g,OBSESSION - Official Trailer [HD] - Only In Theaters May 15,Trailer,https://www.youtube.com/watch?v=TaaDkbG3I7g
687163,Project Hail Mary,Project Hail Mary,145.3902,8.66,6937,2026-03-15,"[878, 12]","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",/yihdXomYb5kTeSivtFndMy5iDmf.jpg,movie,2026-08-11T14:30:24.230073,5VYsnngkS_U,Official Trailer 2,Trailer,https://www.youtube.com/watch?v=5VYsnngkS_U
