tmdb_id,name,original_name,popularity,vote_average,vote_count,first_air_date,origin_country,genre_ids,overview,poster_path,fetched_at
124364,FROM,FROM,660.8325,8.4,3233,2022-02-20,"[""US""]","[9648, 18, 10765]","Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.",/pRtJagIxpfODzzb0T0NAvZSzErC.jpg,2026-05-19T22:48:45.652787
76479,The Boys,The Boys,584.1474,8.461,12403,2019-07-25,"[""US""]","[10765, 10759]",A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,/in1R2dDc421JxsoRWaIIAqVI2KE.jpg,2026-05-19T22:48:45.652851
79744,The Rookie,The Rookie,267.1629,8.542,3225,2018-10-16,"[""US""]","[80, 18, 35]","Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he's met with skepticism from some higher-ups who see him as just a walking midlife crisis.",/70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg,2026-05-19T22:48:45.652868
273240,Off Campus,Off Campus,264.5946,8.868,136,2026-05-13,"[""US""]",[18],"Hannah Wells tutors hockey captain Garrett Graham to win over her crush. Their deal becomes real connection as they face their pasts. Friends Logan, Dean, Tucker, and Allie navigate college life and love.",/cbODFqkcmRgrYH8NkG4Q4Hcg8Z1.jpg,2026-05-19T22:48:45.652883
85552,Euphoria,Euphoria,257.3714,8.3,10655,2019-06-16,"[""US""]",[18],"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.",/aJrG7OkoTMPWG5c8opz8a93AZPY.jpg,2026-05-19T22:48:45.652898
2734,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit,232.9299,7.9,4196,1999-09-20,"[""US""]","[80, 18, 9648]","In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",/iofokHZoUB4Qhik4PflvJl8TT6a.jpg,2026-05-19T22:48:45.652914
1416,Grey's Anatomy,Grey's Anatomy,224.6535,8.209,10898,2005-03-27,"[""US""]",[18],Follows the personal and professional lives of a group of doctors at Seattle's Grey Sloan Memorial Hospital.,/hjJkrLXhWvGHpLeLBDFznpBTY1S.jpg,2026-05-19T22:48:45.652926
1622,Supernatural,Supernatural,217.3736,8.306,8407,2005-09-13,"[""US""]","[18, 9648, 10765]","When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",/u40gJarLPlIkwouKlzGdobQOV9k.jpg,2026-05-19T22:48:45.652940
308014,Berlin and the Lady with an Ermine,Berlín y la dama del armiño,205.5527,8.15,50,2026-05-15,"[""ES""]","[18, 80]","Hungry for a new heist, Berlin summons the gang to Seville and turns an ambitious duke into the victim of his own plan: to steal a da Vinci masterpiece.",/kru9Y5uRXdZFcUyeRlcv4bP4hOr.jpg,2026-05-19T22:48:45.652954
9323,The Jacksons: An American Dream,The Jacksons: An American Dream,201.3046,6.75,54,1992-11-15,"[""US""]",[18],The history of the Jackson family and the early and successful years of the Motown group The Jackson 5.,/4fHM1tTWf0n8mzxh4d1G2er7yPx.jpg,2026-05-19T22:48:45.652970
