genre_id,genre_name,fetched_at
28,Action,2026-08-18T06:41:42.707270
12,Adventure,2026-08-18T06:41:42.707282
16,Animation,2026-08-18T06:41:42.707284
35,Comedy,2026-08-18T06:41:42.707285
80,Crime,2026-08-18T06:41:42.707286
99,Documentary,2026-08-18T06:41:42.707288
18,Drama,2026-08-18T06:41:42.707289
10751,Family,2026-08-18T06:41:42.707292
14,Fantasy,2026-08-18T06:41:42.707294
36,History,2026-08-18T06:41:42.707295
27,Horror,2026-08-18T06:41:42.707297
10402,Music,2026-08-18T06:41:42.707298
9648,Mystery,2026-08-18T06:41:42.707299
10749,Romance,2026-08-18T06:41:42.707301
878,Science Fiction,2026-08-18T06:41:42.707302
10770,TV Movie,2026-08-18T06:41:42.707303
53,Thriller,2026-08-18T06:41:42.707304
10752,War,2026-08-18T06:41:42.707306
37,Western,2026-08-18T06:41:42.707307
