genre_id,genre_name,fetched_at
28,Action,2026-09-01T11:12:12.074065
12,Adventure,2026-09-01T11:12:12.074073
16,Animation,2026-09-01T11:12:12.074075
35,Comedy,2026-09-01T11:12:12.074077
80,Crime,2026-09-01T11:12:12.074078
99,Documentary,2026-09-01T11:12:12.074079
18,Drama,2026-09-01T11:12:12.074080
10751,Family,2026-09-01T11:12:12.074083
14,Fantasy,2026-09-01T11:12:12.074085
36,History,2026-09-01T11:12:12.074086
27,Horror,2026-09-01T11:12:12.074088
10402,Music,2026-09-01T11:12:12.074089
9648,Mystery,2026-09-01T11:12:12.074090
10749,Romance,2026-09-01T11:12:12.074091
878,Science Fiction,2026-09-01T11:12:12.074092
10770,TV Movie,2026-09-01T11:12:12.074094
53,Thriller,2026-09-01T11:12:12.074095
10752,War,2026-09-01T11:12:12.074096
37,Western,2026-09-01T11:12:12.074097
