genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1123.26,49647,2026-08-31T12:52:05.046651
12,Adventure,1123.26,28165,2026-08-31T12:52:05.435768
16,Animation,236.3186,71462,2026-08-31T12:52:05.856574
35,Comedy,236.3186,174832,2026-08-31T12:52:06.245374
80,Crime,344.2124,42557,2026-08-31T12:52:06.626753
99,Documentary,82.8713,227765,2026-08-31T12:52:07.007306
18,Drama,357.4296,297943,2026-08-31T12:52:07.389413
10751,Family,236.3186,33214,2026-08-31T12:52:07.775952
14,Fantasy,633.2276,30412,2026-08-31T12:52:08.159961
36,History,43.9583,22403,2026-08-31T12:52:08.539473
27,Horror,254.3681,73132,2026-08-31T12:52:08.932126
10402,Music,73.9912,54535,2026-08-31T12:52:09.310786
9648,Mystery,247.0229,27166,2026-08-31T12:52:09.700017
10749,Romance,357.4296,64360,2026-08-31T12:52:10.078456
878,Science Fiction,1123.26,27012,2026-08-31T12:52:10.470420
10770,TV Movie,75.0807,32945,2026-08-31T12:52:10.850646
53,Thriller,426.1891,62161,2026-08-31T12:52:11.240432
10752,War,95.1963,13066,2026-08-31T12:52:11.629377
37,Western,34.507,10222,2026-08-31T12:52:12.014921
