tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at
769,GoodFellas,8.452,14315,26.0924,1990-09-12,"[18, 80]","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",2026-05-19T22:48:51.634246
346,Seven Samurai,8.5,4223,16.0562,1954-04-26,"[28, 18]","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",2026-05-19T22:48:51.634253
12477,Grave of the Fireflies,8.441,6506,0.0144,1988-04-16,"[16, 18, 10752]","In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",2026-05-19T22:48:51.634259
637,Life Is Beautiful,8.438,13968,13.1656,1997-12-20,"[35, 18]",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,2026-05-19T22:48:51.634264
550,Fight Club,8.438,31997,30.7059,1999-10-15,"[18, 53]","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",2026-05-19T22:48:51.634270
120,The Lord of the Rings: The Fellowship of the Ring,8.434,27504,32.8709,2001-12-18,"[12, 14, 28]","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2026-05-19T22:48:51.634276
14537,Harakiri,8.4,1206,10.3143,1962-09-15,"[28, 18, 36]","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",2026-05-19T22:48:51.634282
598,City of God,8.43,8169,13.3581,2002-08-30,"[18, 80]","In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",2026-05-19T22:48:51.634287
11216,Cinema Paradiso,8.425,4816,10.2674,1988-11-17,"[18, 10749]","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",2026-05-19T22:48:51.634307
121,The Lord of the Rings: The Two Towers,8.417,23843,23.5,2002-12-18,"[12, 14, 28]","Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2026-05-19T22:48:51.634312
539,Psycho,8.414,10973,18.5798,1960-06-22,"[27, 53, 9648]","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",2026-05-19T22:48:51.634318
510,One Flew Over the Cuckoo's Nest,8.4,11424,13.599,1975-11-19,[18],"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",2026-05-19T22:48:51.634323
40096,A Dog's Will,8.411,1221,5.2567,2000-09-15,"[35, 18, 14, 10749]","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",2026-05-19T22:48:51.634329
667257,Impossible Things,8.395,422,4.6922,2021-06-17,"[10751, 18]","After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",2026-05-19T22:48:51.634334
324857,Spider-Man: Into the Spider-Verse,8.393,17190,21.5227,2018-12-06,"[16, 28, 12, 878]","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2026-05-19T22:48:51.634340
1891,The Empire Strikes Back,8.4,18376,13.6939,1980-05-20,"[12, 28, 878]","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",2026-05-19T22:48:51.634346
255709,Hope,8.391,849,19.1131,2013-10-02,[18],"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",2026-05-19T22:48:51.634351
4935,Howl's Moving Castle,8.386,11051,23.0714,2004-09-09,"[14, 16, 12]","Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",2026-05-19T22:48:51.634356
