tmdb_id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,fetched_at
1430077,Hokum,2026-04-29,15.8351,6.933,45,[27],"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",2026-05-21T22:17:56.046187
1455079,"You, Me & Tuscany",2026-04-09,15.1516,6.9,47,"[10749, 35]","When a woman crashes at an empty Italian villa, posing as the owner's fiancée, she discovers an unexpected romance that could transform her life.",2026-05-21T22:17:56.046194
493922,Hereditary,2018-06-07,14.5708,7.3,8553,"[27, 9648, 53]","Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",2026-05-21T22:17:56.046302
467905,How to Make a Killing,2026-02-19,14.4582,7.118,384,"[35, 53]","Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",2026-05-21T22:17:56.046313
5879,In the Realm of the Senses,1976-09-15,14.1006,6.6,729,"[18, 10749]","A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship.",2026-05-21T22:17:56.046320
530385,Midsommar,2019-07-03,13.9871,7.151,8048,"[27, 18, 9648]","Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",2026-05-21T22:17:56.046327
1317149,I Swear,2025-09-22,13.8842,8.224,294,"[18, 36]","Diagnosed with Tourette Syndrome at 15, John Davidson navigates his way against the odds through troubled teenage years and into adulthood, finding inspiration in the kindness of others to discover his true purpose in life.",2026-05-21T22:17:56.046333
1375646,Colony,2026-05-21,13.6886,10.0,1,"[28, 53, 27]","Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",2026-05-21T22:17:56.046340
1424965,Ice Skater,2026-05-28,13.6193,0.0,0,"[18, 53]","A survival drama about an ice skater stranded on an ice floe at the Arctic Sea. When the ice floe starts to float towards south and melt, the ice skater must use all means necessary to survive.",2026-05-21T22:17:56.046346
1316427,7 Dogs,2026-05-27,13.0282,0.0,0,"[28, 35]",Interpol agent Khalid Al-Azzazi joins forces with Ghali Abu Dawood from the 7 Dogs crime syndicate to fight drug trafficking.,2026-05-21T22:17:56.046353
194,Amélie,2001-04-25,12.0538,7.92,12379,"[35, 10749]","At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",2026-05-21T22:17:56.046359
1381027,Good Boy,2026-03-06,11.4972,7.3,89,"[53, 18, 9648]","Tommy, a volatile 19-year-old, revels in drugs, parties and violence. After getting separated from his friends on a drunken bender, he is abducted by a shadowy figure. He wakes to find himself imprisoned in the basement of a remote Yorkshire house, inhabited by a very strange family. But what unfolds is not what he could possibly expect.",2026-05-21T22:17:56.046366
1515899,Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),2026-05-06,11.1927,7.2,17,"[10402, 99]","Captured during Billie Eilish's sold-out world tour, a concert experience from one of the most celebrated and successful artists of her generation, presented in immersive 3D.",2026-05-21T22:17:56.046373
1239134,Bhooth Bangla,2026-04-16,10.8012,6.5,9,"[27, 35]","A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",2026-05-21T22:17:56.046379
1418657,The Yeti,2026-04-04,10.6489,6.798,47,"[27, 53]","When an oil tycoon and a famous adventurer vanish into the harsh winter of remote northern Alaska, a hand-picked rescue team endeavors to bring them home. What they don’t know is that they are trespassing on The Yeti’s territory, and the elements are the least of their worries.",2026-05-21T22:17:56.046385
748783,The Garfield Movie,2024-04-30,10.0269,6.992,1432,"[10751, 35, 12, 16]","Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",2026-05-21T22:17:56.046396
1340206,Tuner,2026-05-21,9.975,7.0,2,"[80, 53, 35, 10402]",A talented piano tuner's life is turned upside down when he discovers that his meticulous skills for tuning pianos can equally be applied to cracking safes.,2026-05-21T22:17:56.046403
24021,The Twilight Saga: Eclipse,2010-06-23,9.6952,6.195,9239,"[12, 14, 18, 10749]","Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",2026-05-21T22:17:56.906270
1291335,Solo Mio,2026-02-05,8.0218,7.046,141,"[10749, 35]","After Matt's dreams of a picturesque Italian wedding are shattered when his fiancée leaves him at the altar, he embarks on his planned honeymoon across Italy alone, immersing himself in the country's vibrant culture, food, and beauty, meeting Gia along the way.",2026-05-21T22:17:56.906319
1151272,Sirāt,2025-06-06,8.6706,6.8,640,"[18, 53]","A man and his son arrive at a rave lost in the mountains of Morocco. They are looking for Marina, their daughter and sister, who disappeared months ago at another rave. Driven by fate, they decide to follow a group of ravers in search of one last party, in hopes Marina will be there.",2026-05-21T22:17:56.906337
1033148,Die My Love,2025-10-06,7.9466,6.158,523,[18],"After inheriting a remote Montana house, Jackson moves there from New York with his partner Grace, and the couple soon welcome a child. As Jackson becomes increasingly absent and rural isolation sets in, Grace struggles with loneliness, creative frustration, and unresolved emotional wounds. What begins as an attempt at renewal gradually turns into an intense psychological descent, placing strain on their relationship and exposing the fragile balance between love, identity, and motherhood.",2026-05-21T22:17:56.906348
957,Spaceballs,1987-06-24,8.3496,6.867,3384,"[35, 878]","When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?",2026-05-21T22:17:56.906361
1136867,Materialists,2025-06-12,8.0258,6.296,1279,"[10749, 18]","A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",2026-05-21T22:17:56.906372
1412598,Killer Whale,2026-01-16,8.1764,5.8,85,"[53, 27, 28, 9648, 878]",Follows best friends Maddie and Trish as they find themselves trapped in a remote lagoon with the dangerous killer whale named Ceto.,2026-05-21T22:17:56.906384
1057265,Peddi,2026-06-03,8.1192,0.0,0,"[28, 18]","In 1980s rural Andhra Pradesh, a spirited villager unites his community through sports to defend their pride against a powerful rival.",2026-05-21T22:17:56.906394
627,Trainspotting,1996-02-23,7.7205,8.0,10380,"[18, 80]","Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends --Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind as Begbie and Sick Boy come knocking.",2026-05-21T22:17:56.906405
650524,Back to the Past,2025-12-31,7.5177,6.0,26,"[878, 28, 35]","In the Qin Dynasty, time-traveller Hong Siu-lung has lived in seclusion with his family for twenty years. Yet every step he takes remains under the watchful eye of his former disciple, now the Qin Emperor. On the brink of ultimate power after conquering the six warring states, the emperor is suddenly ambushed by a mysterious team wielding advanced weapons clearly originating from Hong’s time. Drawn together by fate again, Hong and Qin Emperor are forced to confront the long-buried conflict between them, because the future now depends on how they settle their past.",2026-05-21T22:17:56.906413
1177767,Mile End Kicks,2026-04-17,7.3921,6.0,5,"[35, 10749, 10402, 18]","Grace Pine, a 22-year-old music critic, moves to Montreal to write a book on Alanis Morissette's Jagged Little Pill, but her plans are complicated when she becomes romantically involved with two members of an indie band she is covering and decides to become their publicist.",2026-05-21T22:17:56.906427
1116201,Iron Lung,2026-01-30,6.6303,7.3,140,"[27, 9648, 878]","The stars are gone. The planets have disappeared. Only individuals aboard space stations or starships were left to give the end a name -- The Quiet Rapture. After decades of decay and crumbling infrastructure, the Consolidation of Iron has made a discovery on a barren moon designated AT-5. An ocean of blood. Hoping to discover desperately needed resources they immediately launch an expedition. A submarine is crafted and a convict is welded inside. Due to the pressure and depth of the ocean the forward viewport has been encased in metal. If successful, they will earn their freedom. If not, another will follow. This will be the 13th expedition.",2026-05-21T22:17:56.906435
878608,Resurrection,2025-11-22,6.4791,7.193,83,"[878, 18]","In a future where humanity has surrendered its ability to dream in exchange for immortality, an outcast finds illusion, nightmarish visions, and beauty in an intoxicating world of his own making.",2026-05-21T22:17:56.906442
1287141,Pillion,2025-11-28,6.955,6.4,182,"[10749, 18, 35]","Colin, a timid gay man, is swept off his feet when Ray, an enigmatic and impossibly handsome biker, takes him on as his submissive in a crazy and erotic BDSM-focused relationship.",2026-05-21T22:17:56.906449
1127384,Deep Water,2026-04-30,5.6846,6.3,3,"[53, 27]",A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,2026-05-21T22:17:56.906455
1393326,Ghost in the Cell,2026-04-16,6.354,8.2,10,"[27, 35]","A notorious prison, an invisible force begins killing inmates brutally, compelling enemy gangs and corrupt guards to work together as they try to survive the mounting bloodshed.",2026-05-21T22:17:56.906461
14069,The Girl Who Leapt Through Time,2006-07-15,6.312,7.8,2243,"[14, 16, 18, 878]","When 17-year-old Makoto Konno gains the ability to 'leap' backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends.",2026-05-21T22:17:56.906469
