genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,851.9124,49717,2026-09-06T10:22:31.992332
12,Adventure,851.9124,28216,2026-09-06T10:22:32.318132
16,Animation,177.6735,71598,2026-09-06T10:22:32.644709
35,Comedy,477.1181,175139,2026-09-06T10:22:32.972612
80,Crime,184.5184,42626,2026-09-06T10:22:33.302033
99,Documentary,50.4189,228394,2026-09-06T10:22:33.627808
18,Drama,211.1457,298543,2026-09-06T10:22:33.951066
10751,Family,477.1181,33281,2026-09-06T10:22:34.280591
14,Fantasy,482.5778,30462,2026-09-06T10:22:34.629520
36,History,51.7722,22428,2026-09-06T10:22:34.958065
27,Horror,262.5655,73313,2026-09-06T10:22:35.311345
10402,Music,60.3022,54674,2026-09-06T10:22:35.640100
9648,Mystery,137.9664,27255,2026-09-06T10:22:35.968341
10749,Romance,263.0081,64462,2026-09-06T10:22:36.297716
878,Science Fiction,851.9124,27072,2026-09-06T10:22:36.629008
10770,TV Movie,185.4439,32940,2026-09-06T10:22:36.957204
53,Thriller,406.4915,62251,2026-09-06T10:22:37.285492
10752,War,184.5833,13080,2026-09-06T10:22:37.615967
37,Western,26.1592,10231,2026-09-06T10:22:37.948563
