genre_id,genre_name,fetched_at
28,Action,2026-08-16T06:38:35.687696
12,Adventure,2026-08-16T06:38:35.687703
16,Animation,2026-08-16T06:38:35.687705
35,Comedy,2026-08-16T06:38:35.687707
80,Crime,2026-08-16T06:38:35.687708
99,Documentary,2026-08-16T06:38:35.687709
18,Drama,2026-08-16T06:38:35.687710
10751,Family,2026-08-16T06:38:35.687713
14,Fantasy,2026-08-16T06:38:35.687715
36,History,2026-08-16T06:38:35.687716
27,Horror,2026-08-16T06:38:35.687718
10402,Music,2026-08-16T06:38:35.687719
9648,Mystery,2026-08-16T06:38:35.687721
10749,Romance,2026-08-16T06:38:35.687722
878,Science Fiction,2026-08-16T06:38:35.687723
10770,TV Movie,2026-08-16T06:38:35.687724
53,Thriller,2026-08-16T06:38:35.687726
10752,War,2026-08-16T06:38:35.687727
37,Western,2026-08-16T06:38:35.687728
