genre_id,genre_name,fetched_at
28,Action,2026-08-25T06:46:28.048872
12,Adventure,2026-08-25T06:46:28.048883
16,Animation,2026-08-25T06:46:28.048885
35,Comedy,2026-08-25T06:46:28.048886
80,Crime,2026-08-25T06:46:28.048887
99,Documentary,2026-08-25T06:46:28.048888
18,Drama,2026-08-25T06:46:28.048889
10751,Family,2026-08-25T06:46:28.048893
14,Fantasy,2026-08-25T06:46:28.048894
36,History,2026-08-25T06:46:28.048896
27,Horror,2026-08-25T06:46:28.048897
10402,Music,2026-08-25T06:46:28.048898
9648,Mystery,2026-08-25T06:46:28.048900
10749,Romance,2026-08-25T06:46:28.048901
878,Science Fiction,2026-08-25T06:46:28.048902
10770,TV Movie,2026-08-25T06:46:28.048903
53,Thriller,2026-08-25T06:46:28.048904
10752,War,2026-08-25T06:46:28.048905
37,Western,2026-08-25T06:46:28.048906
