tmdb_id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,fetched_at
1339713,Obsession,2026-04-16,152.8951,8.13,115,[27],"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026-05-19T22:48:55.009847
931285,Mortal Kombat II,2026-05-06,146.0172,7.0,211,"[28, 14, 12]","The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",2026-05-19T22:48:55.009916
1292415,Beast,2026-04-10,143.7614,6.5,31,"[28, 18]","MMA legend Patton James, now a commercial fisherman, is pulled back into the cage when his brother is in danger. Reuniting with his old coach Sammy, he commits to one final fight in one championship against the brutal champion Xavier Grau.",2026-05-19T22:48:55.009930
936075,Michael,2026-04-22,116.9987,7.58,773,"[10402, 18]","The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",2026-05-19T22:48:55.009941
1301421,The Sheep Detectives,2026-04-30,107.6283,7.7,76,"[35, 10751, 9648]","George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",2026-05-19T22:48:55.009951
1368166,The Housemaid,2025-12-18,64.7895,7.248,2127,"[9648, 53]","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",2026-05-19T22:48:55.009960
1122573,In the Grey,2026-05-13,48.5359,6.421,38,"[28, 53]","A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",2026-05-19T22:48:55.009969
1228710,Star Wars: The Mandalorian and Grogu,2026-05-20,45.4551,8.0,5,"[12, 878, 28]","The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",2026-05-19T22:48:55.009979
1325734,The Drama,2026-03-26,38.3143,6.926,779,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,2026-05-19T22:48:55.009988
1140521,The Magic Faraway Tree,2026-03-26,29.9019,6.3,26,"[10751, 14, 12]","A modern family relocates to the countryside where the children discover a magical tree with eccentric residents. They're transported to fantastical lands, rekindling their family bond through adventures.",2026-05-19T22:48:55.009998
